ID,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,EVENT_VALIDITY,CAUSE_CODE,FOCAL_DEPTH,PRIMARY_MAGNITUDE,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,MAXIMUM_WATER_HEIGHT,ABE,IIDA,SOLOVIEV,WARNING_STATUS,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION
424.0,1746.0,10.0,29.0,3.0,30.0,,4.0,1.0,30.0,8.0,PERU,,CENTRAL PERU,-11.996,-77.19800000000002,89.0,24.0,,4.6,3.5,,4800.0,4.0,,,,,,4.0,,3.0,,,5941.0,4.0,,,,,,4.0,,3.0,,
440.0,1751.0,5.0,25.0,5.0,30.0,,4.0,1.0,,8.5,CHILE,,CENTRAL CHILE,-37.0,-73.0,89.0,3.5,,1.8,3.5,,65.0,2.0,,,,,,1.0,,,,,65.0,2.0,,,,,,3.0,,3.0,,
452.0,1754.0,9.0,1.0,7.0,0.0,,3.0,1.0,,,MEXICO,,S. MEXICO,16.8,-99.2,88.0,4.0,,2.0,2.0,,,,,,,,,3.0,,3.0,,,,,,,,,,3.0,,3.0,,
2441.0,1755.0,10.0,4.0,,,,0.0,0.0,,,USA,NY,LAKE ONTARIO,43.5,-78.0,75.0,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456.0,1755.0,11.0,1.0,9.0,30.0,,4.0,1.0,,8.5,PORTUGAL,,LISBON,37.0,-10.0,73.0,18.3,,3.6,,,50000.0,4.0,,,,,,4.0,,4.0,,4.0,50000.0,4.0,,,,,,4.0,,4.0,,4.0
457.0,1755.0,11.0,5.0,,,,1.0,0.0,,,UK,,"RIVER TEES, ENGLAND",54.68,-1.21,73.0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460.0,1756.0,2.0,27.0,,,,2.0,0.0,,,UK,,"ILFRACOMBE, ENGLAND",51.208,-4.122,73.0,1.8,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
465.0,1757.0,8.0,24.0,,,,2.0,1.0,,7.5,INDONESIA,,JAKARTA,-6.0,107.0,60.0,0.5,,,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
466.0,1759.0,10.0,30.0,,,,2.0,1.0,,,ISRAEL,,AKKO,33.0,35.5,50.0,8.0,,1.3,4.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,
468.0,1761.0,3.0,31.0,12.0,1.0,,3.0,1.0,,8.5,PORTUGAL,,SW PORTUGAL,34.5,-13.0,73.0,2.4,,1.3,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
